Rk,Player,Nation,Pos,Squad,League,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKmiss,PK Save%,FK GA,CK GA,OG GA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-p90,Launched Pass Cmp,Launched Pass Att,Launched Pass Cmp%,GK Throws,Launched Pass%,AvgLen Launched,Att Goal Kicks,Launch Goal Kicks%,AvgLen Goal Kicks,Crosses faced,Crosses stopped,Crosses Stp%,OPA Actions,OPA p90,OPA AvgDist,Cmp Passes,Att Passes,Total Pass Cmp%,TotDist,PrgDist,Cmp Short Passes,Att Short Passes,Cmp Short Passes%,Cmp Med Passes,Att Med Passes,Cmp Med Passes%,Cmp Long Passes,Att Long Passes,Cmp Long Passes%,Ast,xAG,xA,A-xAG,KP,Passes into Final third,PPA,CrsPA,PrgP
1,Krapyvtsov Vladyslav,ua UKR,GK,Girona,La Liga,19,2005,2,2,180,2,7,3.5,18,11,66.7,0,0,2,0,0,1,1,0,0,0,0,2,0,6.3,0.31,-0.7,-0.37,10,21,47.6,13,31.7,35.6,7,14.3,28.6,27,1,3.7,1,0.5,12.9,53,70,75.7,1585,1179,4,4,100,32,34,94.1,17,32,53.1,0,0,0,0,0,1,0,0,0
2,Iván Villar,es ESP,GK,Celta Vigo,La Liga,27,1997,4,4,360,4,9,2.25,18,10,50,2,0,2,0,0,1,0,1,0,100,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,15,14.6,24,35,28.6,26.9,65,1,1.5,5,1.25,14.8,95,117,81.2,1704,1111,30,30,100,44,44,100,10,32,31.3,0,0,0,0,0,0,0,0,0
3,Fran Vieites,es ESP,GK,Betis,La Liga,25,1999,4,4,360,4,5,1.25,11,6,54.5,1,2,1,0,0,0,0,0,0,,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,16,40,38,29,62.1,46.4,65,6,9.2,4,1,12.8,76,119,63.9,2047,1345,15,15,100,37,37,100,24,67,35.8,0,0,0,0,0,2,0,0,0
4,Marc-André ter Stegen,de GER,GK,Barcelona,La Liga,32,1992,8,8,674,7.5,9,1.2,22,13,63.6,7,0,1,1,12.5,1,1,0,0,0,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,40,12.1,26.5,27,14.8,32,83,5,6,13,1.74,17,233,251,92.8,5847,4091,26,26,100,151,153,98.7,56,72,77.8,0,0,0,0,0,1,1,0,2
5,Wojciech Szczęsny,pl POL,GK,Barcelona,La Liga,34,1990,15,15,"1,350",15,12,0.8,33,21,66.7,14,1,0,8,53.3,1,1,0,0,0,0,1,0,12,0.35,0,0,24,63,38.1,61,12.3,25.1,54,25.9,31,130,7,5.4,56,3.73,20.2,402,454,88.5,9086,5717,81,81,100,251,254,98.8,68,115,59.1,0,0,0,0,0,1,0,0,0
6,Juan Soriano,es ESP,GK,Leganés,La Liga,26,1997,6,6,540,6,7,1.17,25,19,72,1,2,3,1,16.7,0,0,0,0,,0,1,1,8.8,0.36,2.8,0.47,36,120,30,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0,8.4,98,185,53,3513,2922,17,17,100,35,35,100,46,133,34.6,0,0,0,0,0,0,0,0,0
7,David Soria,es ESP,GK,Getafe,La Liga,31,1993,38,38,"3,420",38,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,0,5,0,42,0.29,3,0.08,300,799,37.5,68,72.6,48.8,304,91.1,61.5,479,25,5.2,39,1.03,14.7,513,1029,49.9,22539,20168,29,29,100,137,139,98.6,346,854,40.5,0,0,0.2,0,0,51,1,0,1
8,Antonio Sivera,es ESP,GK,Alavés,La Liga,27,1996,32,32,"2,810",31.2,39,1.25,112,75,73.2,9,10,13,8,25,9,9,0,0,0,2,2,2,39,0.28,2,0.06,297,724,41,70,71.8,47.7,229,85.6,60,453,30,6.6,29,0.93,12.7,521,967,53.9,22083,19812,37,37,100,150,153,98,332,771,43.1,0,0.1,0.2,-0.1,1,42,1,0,1
9,Unai Simón,es ESP,GK,Athletic Club,La Liga,27,1997,21,21,"1,890",21,14,0.67,62,47,79,10,8,3,10,47.6,2,1,1,0,50,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,91,36.2,34.4,117,77.8,58.3,250,19,7.6,28,1.33,15.5,455,654,69.6,13411,10783,64,64,100,238,242,98.3,152,343,44.3,0,0,0,0,0,12,0,0,0
10,Rui Silva,pt POR,GK,Betis,La Liga,30,1994,15,15,"1,350",15,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,70,26,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,412,524,78.6,10283,6196,66,66,100,250,250,100,93,203,45.8,0,0.1,0,-0.1,2,5,0,0,0
11,Leo Román,es ESP,GK,Mallorca,La Liga,24,2000,7,7,630,7,10,1.43,49,39,81.6,2,1,4,2,28.6,1,1,0,0,0,0,1,0,13.5,0.26,3.5,0.5,48,139,34.5,18,53.2,41.8,52,75,57.5,127,8,6.3,6,0.86,11.2,137,240,57.1,4877,4009,9,9,100,61,64,95.3,67,167,40.1,0,0,0,0,0,4,0,0,0
12,Adrian Rodriguez,es ESP,GK,Alavés,La Liga,23,2000,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100,1,1,0,0,0,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,0,92.3,56.3,24,100,67.4,33,0,0,0,0,9.8,19,50,38,1160,1084,1,1,100,0,0,,18,48,37.5,0,0,0,0,0,1,0,0,0
13,Álex Remiro,es ESP,GK,Real Sociedad,La Liga,29,1995,36,36,"3,240",36,43,1.19,130,86,70.8,13,7,16,13,36.1,6,5,1,0,16.7,0,5,0,38,0.26,-5,-0.14,180,477,37.7,111,31.4,32.6,234,62.4,48.9,446,29,6.5,40,1.11,14.4,955,1291,74,26773,18734,137,137,100,513,523,98.1,305,625,48.8,0,0,0,0,1,14,0,0,1
14,Arnau Rafús,es ESP,GK,Valladolid,La Liga,21,2003,1,1,90,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0.5,0.23,-1.5,-1.53,7,15,46.7,5,34.2,34.9,5,40,39,14,1,7.1,1,1,11.4,33,43,76.7,1001,672,4,4,100,20,21,95.2,9,17,52.9,0,0,0,0,0,0,0,0,0
15,Iñaki Peña,es ESP,GK,Barcelona,La Liga,25,1999,16,15,"1,396",15.5,18,1.16,53,35,69.8,7,3,5,4,26.7,2,2,0,0,0,0,1,0,16.7,0.29,-1.3,-0.08,23,78,29.5,80,10.8,24.7,84,22.6,30.3,142,3,2.1,89,5.74,23.5,563,631,89.2,12506,7111,97,98,99,385,388,99.2,79,143,55.2,0,0,0,0,0,0,0,0,3
16,Alex Padilla,es ESP,GK,Athletic Club,La Liga,20,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0,1,1,0,0,0,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4,67,121,55.4,2317,1964,9,9,100,25,25,100,33,86,38.4,0,0,0,0,0,4,0,0,0
17,Jesús Owono,gq EQG,GK,Alavés,La Liga,23,2001,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0,1,1,0,0,0,0,2,0,5.4,0.37,-1.6,-0.29,46,105,43.8,12,55.6,43,36,97.2,67.5,66,6,9.1,2,0.37,8.9,99,163,60.7,3878,3470,10,10,100,36,36,100,53,115,46.1,0,0,0,0,0,5,0,0,0
18,Jan Oblak,si SVN,GK,Atlético Madrid,La Liga,31,1993,36,36,"3,240",36,30,0.83,114,86,78.1,20,10,6,15,41.7,5,5,0,0,0,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14,763,948,80.5,19982,13324,139,139,100,407,410,99.3,211,392,53.8,0,0,0,0,0,7,0,0,0
19,Ørjan Nyland,no NOR,GK,Sevilla,La Liga,33,1990,30,30,"2,673",29.7,39,1.31,112,73,67.9,8,10,12,7,23.3,4,3,1,0,25,3,3,1,37.1,0.31,-0.9,-0.03,118,445,26.5,114,42.1,37.2,166,56,46,408,20,4.9,29,0.98,13.8,637,1007,63.3,17132,12890,154,155,99.4,294,304,96.7,188,541,34.8,0,0.3,0.1,-0.3,4,27,2,0,1
20,Juan Musso,ar ARG,GK,Atlético Madrid,La Liga,30,1994,2,2,180,2,0,0,2,2,100,2,0,0,2,100,0,0,0,0,,0,0,0,0.1,0.05,0.1,0.05,1,9,11.1,11,15.2,24,13,15.4,25.2,23,2,8.7,0,0,11.2,51,60,85,972,521,17,17,100,29,29,100,5,13,38.5,0,0,0,0,0,0,0,0,0
21,Unai Marrero,es ESP,GK,Real Sociedad,La Liga,22,2001,2,2,180,2,3,1.5,12,8,75,0,0,2,0,0,1,0,1,0,100,0,0,0,3.5,0.22,0.5,0.26,7,16,43.8,11,24.4,28.3,15,40,35.1,21,1,4.8,3,1.5,16.8,46,57,80.7,1155,682,9,9,100,25,26,96.2,12,21,57.1,0,0,0,0,0,0,0,0,0
22,Giorgi Mamardashvili,ge GEO,GK,Valencia,La Liga,23,2000,34,34,"3,060",34,48,1.41,136,89,68.4,11,11,12,8,23.5,7,5,2,0,28.6,0,4,3,46.1,0.3,1.1,0.03,141,449,31.4,134,36,34.5,219,63.9,49.6,472,33,7,38,1.12,14.3,732,1080,67.8,20581,15111,131,131,100,393,398,98.7,208,548,38,0,0.1,0.1,-0.1,2,11,1,0,0
23,Andriy Lunin,ua UKR,GK,Real Madrid,La Liga,25,1999,7,7,630,7,7,1,20,13,65,6,0,1,4,57.1,0,0,0,0,,0,0,0,6.4,0.32,-0.6,-0.09,21,42,50,29,20,26.9,45,24.4,30.6,61,2,3.3,12,1.71,14.9,174,202,86.1,4252,2741,46,47,97.9,82,82,100,45,70,64.3,1,0.9,0,0.1,1,1,0,0,0
24,Pau López,es ESP,GK,Girona,La Liga,29,1994,1,0,45,0.5,2,4,3,1,33.3,0,0,0,0,,0,0,0,0,,0,0,0,1.3,0.44,-0.7,-1.33,4,9,44.4,2,35.3,35.8,7,42.9,38.7,17,3,17.6,1,2,9.8,18,24,75,545,414,2,2,100,12,12,100,4,10,40,0,0,0.1,0,0,2,1,0,0
25,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,La Liga,23,2001,17,16,"1,458",16.2,18,1.11,66,48,78.8,9,4,3,5,31.3,4,4,0,0,0,1,0,0,18.1,0.23,0.1,0,61,178,34.3,96,31.9,31.6,99,53.5,43.6,256,16,6.3,20,1.23,12.2,359,491,73.1,9354,6717,92,93,98.9,160,164,97.6,100,226,44.2,0,0,0,0,0,6,0,0,0
26,Karl Jakob Hein,ee EST,GK,Valladolid,La Liga,22,2002,31,31,"2,790",31,68,2.19,163,96,60.7,4,4,23,5,16.1,4,4,0,0,0,1,4,1,58.8,0.35,-8.2,-0.27,165,452,36.5,136,32.6,33.9,224,64.7,51.7,474,34,7.2,34,1.1,14,856,1167,73.4,24822,17328,126,126,100,472,477,99,258,562,45.9,0,0,0.1,0,0,22,0,0,0
27,Dinko Horkaš,hr CRO,GK,Las Palmas,La Liga,25,1999,13,11,"1,085",12.1,19,1.58,54,35,66.7,2,0,9,1,9.1,2,1,1,0,50,0,0,1,19.4,0.34,1.4,0.11,69,175,39.4,53,31.8,32.5,47,51.1,43,148,9,6.1,16,1.33,15.6,397,525,75.6,10570,7433,72,72,100,217,221,98.2,107,228,46.9,0,0,0,0,0,12,0,0,2
28,Sergio Herrera,es ESP,GK,Osasuna,La Liga,31,1993,37,37,"3,330",37,52,1.41,182,131,75.3,12,15,10,8,21.6,7,7,0,0,0,1,4,1,56.2,0.28,5.2,0.14,277,614,45.1,139,43.2,37.6,276,71.4,50.7,524,32,6.1,85,2.3,19.7,871,1246,69.9,29072,23382,98,99,99,389,397,98,384,746,51.5,0,0,0.1,0,0,29,0,0,2
29,Vicente Guaita,es ESP,GK,Celta Vigo,La Liga,37,1987,34,34,"3,060",34,48,1.41,127,79,64.6,14,7,13,8,23.5,3,3,0,0,0,0,6,0,40.6,0.3,-7.4,-0.22,66,220,30,195,18.4,27.3,230,36.5,35.4,436,26,6,44,1.29,14,798,972,82.1,18728,11766,186,187,99.5,416,422,98.6,180,345,52.2,0,0,0,0,0,2,0,0,1
30,Dominik Greif,sk SVK,GK,Mallorca,La Liga,27,1997,31,31,"2,790",31,34,1.1,116,83,72.4,11,8,12,7,22.6,2,2,0,0,0,0,3,1,33.9,0.28,0.9,0.03,191,475,40.2,126,41.9,36.4,193,62.2,48.3,511,15,2.9,21,0.68,12.9,735,1047,70.2,22443,17751,129,129,100,344,345,99.7,261,564,46.3,0,0,0.1,0,0,17,2,0,0
31,Paulo Gazzaniga,ar ARG,GK,Girona,La Liga,32,1992,36,36,"3,195",35.5,51,1.44,143,90,65.7,11,8,17,8,22.2,5,2,3,0,60,1,5,1,45.4,0.29,-4.6,-0.13,93,298,31.2,137,21.6,29.4,180,42.2,40,419,36,8.6,33,0.93,12.6,969,1211,80,23463,15697,225,226,99.6,540,552,97.8,203,425,47.8,0,0,0,0,0,11,0,0,0
32,Joan García,es ESP,GK,Espanyol,La Liga,23,2001,38,38,"3,420",38,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,197,37.6,34.8,216,62.5,48.5,670,64,9.6,35,0.92,12,901,1259,71.6,25475,19491,184,186,98.9,402,407,98.8,310,657,47.2,0,0,0.1,0,0,25,1,0,1
33,Fran,es ESP,GK,Real Madrid,La Liga,19,2005,1,1,90,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50,3,12.5,24,4,0,14.8,5,1,20,1,1,12,19,20,95,386,262,7,7,100,8,8,100,4,5,80,0,0,0,0,0,0,0,0,0
34,André Ferreira,pt POR,GK,Valladolid,La Liga,28,1996,6,6,540,6,20,3.33,39,19,56.4,0,0,6,0,0,3,3,0,0,0,0,1,0,15.3,0.35,-4.7,-0.79,30,83,36.1,26,37,33.8,56,57.1,41.7,92,4,4.3,3,0.5,10.4,138,195,70.8,3984,2985,19,19,100,77,77,100,42,98,42.9,0,0,0,0,0,1,0,0,0
35,Álvaro Fernández,es ESP,GK,Sevilla,La Liga,26,1998,9,8,747,8.3,16,1.93,36,20,61.1,2,1,5,3,37.5,2,2,0,0,0,0,1,0,11.1,0.25,-4.9,-0.59,37,142,26.1,32,39.6,34.3,46,69.6,49.3,106,7,6.6,14,1.69,16.5,212,325,65.2,5528,3863,50,50,100,107,108,99.1,55,166,33.1,0,0.1,0,-0.1,1,6,0,0,0
36,Aitor Fernández,es ESP,GK,Osasuna,La Liga,33,1991,1,1,90,1,0,0,5,5,100,0,1,0,1,100,0,0,0,0,,0,0,0,1.2,0.23,1.2,1.15,19,35,54.3,4,70.6,44.4,11,100,59.9,14,1,7.1,1,1,10.6,29,45,64.4,1243,1147,0,0,,10,10,100,19,35,54.3,0,0,0,0,0,1,0,0,0
37,Marko Dmitrović,rs SRB,GK,Leganés,La Liga,32,1992,32,32,"2,880",32,49,1.53,150,103,72,8,11,13,10,31.3,8,7,0,1,0,1,9,2,50.2,0.3,3.2,0.1,201,765,26.3,112,65.3,47.2,303,92.4,66.2,579,49,8.5,53,1.66,14.5,470,1052,44.7,17633,14941,56,56,100,169,171,98.8,245,818,30,0,0.2,0.1,-0.2,1,28,0,0,1
38,Stole Dimitrievski,mk MKD,GK,Valencia,La Liga,30,1993,4,4,360,4,6,1.5,12,6,58.3,0,2,2,0,0,2,1,0,1,0,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,25,49.6,40.5,20,80,53.6,51,3,5.9,16,4,25.7,68,133,51.1,2105,1516,6,6,100,35,37,94.6,27,90,30,0,0,0,0,0,3,0,0,0
39,Thibaut Courtois,be BEL,GK,Real Madrid,La Liga,32,1992,30,30,"2,700",30,29,0.97,104,76,75,20,6,4,11,36.7,3,3,0,0,0,0,6,1,28.7,0.27,0.7,0.02,62,214,29,173,18.5,28.2,148,35.8,39.1,350,16,4.6,14,0.47,10.7,848,1020,83.1,20000,12835,163,164,99.4,526,530,99.2,158,324,48.8,0,0.1,0,-0.1,1,4,0,0,0
40,Diego Conde,es ESP,GK,Villarreal,La Liga,25,1998,22,22,"1,962",21.8,33,1.51,94,62,68.1,11,6,5,2,9.1,4,3,0,1,0,1,6,1,26.5,0.26,-5.5,-0.25,60,161,37.3,111,22.7,28.2,107,37.4,36.3,323,18,5.6,16,0.73,11.9,518,640,80.9,12408,8028,123,124,99.2,284,290,97.9,108,222,48.6,1,0.2,0,0.8,2,7,1,0,0
41,Jasper Cillessen,nl NED,GK,Las Palmas,La Liga,35,1989,27,27,"2,335",25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5,683,1002,68.2,18003,13417,147,149,98.7,340,347,98,194,501,38.7,0,0,0,0,0,15,0,0,0
42,Cárdenas,es ESP,GK,Rayo Vallecano,La Liga,27,1997,6,6,540,6,6,1,20,14,70,3,1,2,2,33.3,0,0,0,0,,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,21,56.8,44.3,46,67.4,51.9,79,2,2.5,1,0.17,10.2,94,179,52.5,3014,2377,11,11,100,51,52,98.1,32,115,27.8,0,0,0,0,0,2,0,0,0
43,Augusto Batalla,ar ARG,GK,Rayo Vallecano,La Liga,28,1996,32,32,"2,880",32,39,1.22,133,93,75.2,10,12,10,8,25,8,6,2,0,25,0,6,1,40,0.25,2,0.06,177,534,33.1,129,42.3,38.2,184,63,51.1,453,35,7.7,38,1.19,14.4,784,1177,66.6,23121,17259,121,122,99.2,397,403,98.5,265,645,41.1,0,0,0.1,0,1,25,1,0,2
44,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,23,2000,14,14,"1,206",13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50,2,1,0,10.5,0.27,1.5,0.11,57,178,32,51,37.5,33.9,66,75.8,54.9,143,20,14,17,1.27,14.2,281,411,68.4,7681,5777,46,46,100,165,165,100,70,196,35.7,0,0,0,0,0,1,0,0,0
45,Adrián,es ESP,GK,Betis,La Liga,37,1987,19,19,"1,710",19,27,1.42,76,49,65.8,10,5,4,3,15.8,1,1,0,0,0,2,5,0,26,0.33,-1,-0.05,58,178,32.6,91,28,31.2,109,33,33.8,257,14,5.4,16,0.84,11.7,474,619,76.6,12206,8309,74,76,97.4,265,268,98.9,134,269,49.8,0,0,0,0,0,4,0,0,0
46,Melvin Zinga,fr FRA,GK,Angers,Ligue-1,23-065,2002,1,1,90,1,2,2,4,2,75,0,0,1,0,0,1,1,0,0,0,0,0,0,2.4,0.41,0.4,0.4,2,11,18.2,4,40.9,39,11,18.2,25.6,20,1,5,2,2,16.8,21,33,63.6,541,361,3,3,100,12,12,100,6,18,33.3,0,0,0,0,0,0,0,0,0
47,Arnau Tenas,es ESP,GK,Paris S-G,Ligue-1,23-355,2001,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,,0,0,0,1.5,0.37,0.5,0.46,3,4,75,4,13.3,25.4,2,0,21.5,5,1,20,1,1,15.6,31,32,96.9,757,538,9,9,100,13,13,100,9,10,90,1,0.2,0.1,0.8,2,2,1,0,1
48,Brice Samba (Lens),fr FRA,GK,Lens,Ligue-1,31-025,1994,15,15,"1,350",15,0.93,0.93,3.6,2.67,81.5,0.4,0.4,0.2,0.47,46.7,0.27,0.27,0,0,0,0.13,0.2,0,1.17,0.26,0.23,0.23,5.47,10.9,50.3,4.07,29.7,30.5,5.07,44.7,36.1,10.1,1.13,11.2,1.47,1.47,16.1,27.7,34.1,81.1,745.6,517.7,5.93,6,98.9,12.3,12.5,98.4,9.2,15.3,60.3,0,0,0.01,0,0,1,0.07,0,0.07
49,Brice Samba (Rennes),fr FRA,GK,Rennes,Ligue-1,31-025,1994,17,17,"1,529",17,1.59,1.59,5.12,3.41,70.1,0.41,0,0.59,0.29,29.4,0.18,0.06,0.12,0,66.7,0.06,0.24,0,1.72,0.32,0.13,0.13,3.41,10.5,32.6,3.76,24.4,29.7,6,38.2,33.3,13.2,0.94,7.1,0.88,0.88,13.2,30.9,39.5,78.1,764.4,470.5,5.82,5.88,99,17.6,18.1,97.1,7.47,15.5,48.3,0,0,0,0,0,0.41,0,0,0.06
50,Matvei Safonov,ru RUS,GK,Paris S-G,Ligue-1,26-084,1999,10,9,879,9.8,0.92,0.92,2.55,1.73,72,0.71,0.1,0.1,0.31,33.3,0.2,0.2,0,0,0,0,0.2,0.1,0.73,0.26,-0.08,-0.08,3.67,8.47,43.4,4.69,26.3,29.1,4.9,29.2,28.8,9.59,0.51,5.3,1.43,1.43,18,25.5,31.7,80.4,626.8,404.6,5.2,5.2,100,14,14,100,6.22,12.2,50.8,0,0,0,0,0,0.51,0,0,0
51,Mathew Ryan,au AUS,GK,Lens,Ligue-1,33-042,1992,14,14,"1,260",14,1.21,1.21,4.43,3.14,75.8,0.57,0.07,0.36,0.43,42.9,0.21,0.14,0.07,0,33.3,0,0,0,1.39,0.28,0.18,0.18,3.29,9.64,34.1,5.64,31.3,32.3,4.71,42.4,35.3,12.6,1.43,11.4,0.71,0.71,11.6,21.8,29.1,74.8,562.7,371.2,5.86,5.86,100,8.86,9,98.4,6.93,14.1,49,0,0,0,0,0,0.14,0,0,0
